	43.00	46.00	49.00	52.00	55.00	58.00	61.00	63.99	66.99	69.99	72.99	75.98	78.98	81.97	84.96	87.76	90.63	92.93	94.23	94.51	93.93	92.40	90.10	87.40	84.72	81.87	78.93	75.96	72.97	69.98	66.98	63.99	60.99	57.99	54.99	51.99	49.00	46.00	43.00	40.00	37.00	34.00	31.00	28.00	25.00	22.00	19.00	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	64.00	67.00	70.00	73.00	75.99	78.81	81.71	84.29	87.00	89.47	91.34	92.39	92.75	92.40	91.07	88.86	86.76	84.27	81.51	78.60	75.82	72.93	69.97	66.99	63.99	61.00	58.00	55.00	52.00	49.00	46.00	43.00	40.00	37.00	34.00	31.00	28.00	25.00	22.00	19.00	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	46.00	49.00	52.00	55.00	58.00	61.00	63.81	66.72	69.68	72.67	75.29	78.01	80.68	83.15	85.45	87.72	89.20	90.00	90.34	90.10	88.86	87.47	85.49	83.03	80.46	78.03	75.39	72.56	69.63	66.65	63.66	60.85	57.95	54.98	51.99	49.00	46.00	43.00	40.00	37.00	34.00	31.00	28.00	25.00	22.00	19.00	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	46.00	48.81	51.72	54.68	57.67	60.29	63.01	65.87	68.81	71.60	74.12	76.82	79.19	81.52	83.76	85.62	86.75	87.35	87.63	87.40	86.76	85.49	83.46	81.51	79.30	76.85	74.17	71.52	68.68	65.74	63.14	60.43	57.57	54.63	51.65	48.66	45.85	42.95	39.98	36.99	34.00	31.00	28.00	25.00	22.00	19.00	16.00	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	45.44	48.06	50.89	53.82	56.60	59.31	62.10	64.79	67.64	70.12	72.67	75.22	77.58	79.69	81.66	83.21	84.10	84.56	84.77	84.72	84.27	83.03	81.51	79.70	77.44	75.06	72.77	70.21	67.42	64.69	62.19	59.51	56.67	53.73	50.76	48.15	45.43	42.57	39.63	36.66	33.66	30.67	27.67	24.85	21.95	18.98	15.99	13.00	10.00	7.00	4.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	43.00	44.69	47.21	50.01	52.75	55.53	58.34	60.84	63.48	66.11	68.53	71.13	73.45	75.53	77.41	79.37	80.64	81.34	81.68	81.85	81.87	81.51	80.46	79.30	77.44	75.44	73.43	71.11	68.51	65.89	63.53	61.03	58.31	55.45	52.51	49.91	47.30	44.55	41.68	38.74	35.76	32.77	29.78	27.15	24.43	21.57	18.63	15.66	12.66	9.67	6.67	3.85	0.95	-2.02	-5.01	-8.00	-11.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	40.00	43.34	46.25	48.78	51.44	54.25	56.93	59.38	62.03	64.38	66.87	69.18	71.23	73.28	75.28	76.97	77.98	78.51	78.77	78.89	78.93	78.60	78.03	76.85	75.06	73.43	71.36	68.92	66.79	64.50	62.07	59.44	56.83	54.03	51.49	48.90	46.20	43.38	40.47	37.71	34.82	31.87	29.07	26.36	23.57	20.69	17.74	14.76	11.77	8.78	6.15	3.43	0.57	-2.37	-5.34	-8.34	-11.33	-14.33	-17.33	-20.33	-23.15	-26.05	-29.02	-32.01	-35.00	-38.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	40.00	42.27	44.89	47.54	50.10	52.86	55.28	57.79	60.32	62.66	64.85	67.05	69.16	71.09	72.93	74.38	75.21	75.63	75.83	75.92	75.96	75.82	75.39	74.17	72.77	71.11	68.92	67.11	65.00	62.59	60.17	57.88	55.33	52.75	50.13	47.60	44.88	42.03	39.48	36.80	33.96	31.02	28.14	25.29	22.60	19.77	16.84	13.87	10.88	8.07	5.36	2.57	-0.31	-3.26	-6.24	-9.23	-12.22	-15.22	-18.22	-20.85	-23.57	-26.43	-29.37	-32.34	-35.34	-38.33	-41.33	-44.33	-47.33	-50.15	-53.05	-56.02	-59.01	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	37.00	40.59	43.57	46.04	48.63	51.22	53.60	56.19	58.49	60.75	62.95	64.96	66.85	68.63	70.32	71.64	72.36	72.71	72.87	72.94	72.97	72.93	72.56	71.52	70.21	68.51	66.79	65.00	62.76	60.77	58.59	56.20	53.57	51.04	48.74	46.22	43.48	40.80	38.33	35.66	32.82	29.90	26.96	24.41	21.75	18.93	16.01	13.04	10.05	7.34	4.58	1.73	-1.19	-4.14	-7.12	-10.12	-13.11	-16.11	-18.92	-21.64	-24.43	-27.31	-30.26	-33.24	-36.23	-39.22	-42.22	-45.22	-47.85	-50.57	-53.43	-56.37	-59.34	-62.34	-65.33	-68.33	-71.33	-74.33	-77.33	-80.33	-83.15	-86.05	-89.02	-92.01	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00
	37.00	39.55	42.12	44.50	47.11	49.44	51.91	54.40	56.72	58.79	60.74	62.55	64.47	66.02	67.57	68.79	69.44	69.76	69.89	69.96	69.98	69.97	69.63	68.68	67.42	65.89	64.50	62.59	60.77	58.85	56.57	54.20	51.93	49.60	47.16	44.52	41.91	39.57	37.07	34.37	31.51	28.58	25.99	23.40	20.67	17.82	14.89	11.92	9.31	6.63	3.83	0.95	-1.99	-4.96	-7.95	-10.76	-13.66	-16.62	-19.52	-22.37	-25.25	-28.18	-31.14	-34.12	-37.12	-40.11	-43.11	-45.92	-48.64	-51.43	-54.31	-57.26	-60.24	-63.23	-66.22	-69.22	-72.22	-75.22	-78.22	-80.85	-83.57	-86.43	-89.37	-92.34	-95.34	-98.33	-101.33	-104.33	-107.33	-110.33	-113.33	-116.15	-119.05	-122.02	-125.01	-128.00	-131.00	-134.00	-137.00	-140.00
	37.00	38.51	40.52	42.90	45.37	47.69	50.25	52.53	54.59	56.46	58.41	60.36	62.01	63.34	64.93	65.98	66.53	66.80	66.91	66.96	66.98	66.99	66.65	65.74	64.69	63.53	62.07	60.17	58.59	56.57	54.51	52.49	50.18	47.68	45.23	42.92	40.56	38.09	35.46	32.85	30.06	27.52	24.93	22.23	19.42	16.53	13.77	11.07	8.40	5.64	2.78	-0.14	-3.10	-6.08	-8.69	-11.40	-14.26	-17.20	-20.15	-23.08	-26.02	-28.79	-31.68	-34.63	-37.61	-40.61	-43.61	-46.51	-49.37	-52.25	-55.18	-58.14	-61.12	-64.12	-67.11	-70.11	-73.11	-76.11	-78.92	-81.64	-84.43	-87.31	-90.26	-93.24	-96.23	-99.22	-102.22	-105.22	-108.22	-111.22	-113.85	-116.57	-119.43	-122.37	-125.34	-128.34	-131.33	-134.33	-137.33	-140.00
